Contrib, m, n
0,-6,6
0.00223081518162195,-6,5
0.008210391754607981,-6,4
0.01811053269486782,-6,3
0.01004795297353045,-6,2
0.004503295256202768,-6,1
0.0023071220136850036,-6,0
0.,-6,-1
0.,-6,-2
0.,-6,-3
0.,-6,-4
0.,-6,-5
0.,-6,-6
-0.0047861428730540875,-5,6
0.,-5,5
0.0016789093477173203,-5,4
0.017306146007145595,-5,3
0.018909639533618326,-5,2
0.007670640342202368,-5,1
0.0032041055087345897,-5,0
0.,-5,-1
0.,-5,-2
0.,-5,-3
0.,-5,-4
0.,-5,-5
0.,-5,-6
-0.00590462221013058,-4,6
-0.005952407790876519,-4,5
0.,-4,4
0.003451886575084707,-4,3
0.02933854612051444,-4,2
0.01640024077428124,-4,1
0.00511734715955311,-4,0
0.,-4,-1
0.,-4,-2
0.,-4,-3
0.,-4,-4
0.,-4,-5
0.,-4,-6
-0.0035167470657874447,-3,6
-0.0050297019924325,-3,5
-0.006236549968716865,-3,4
0.,-3,3
0.01501025212790575,-3,2
0.04041790642376365,-3,1
0.011007388908101143,-3,0
0.,-3,-1
0.,-3,-2
0.,-3,-3
0.,-3,-4
0.,-3,-5
0.,-3,-6
-0.0020570276030973003,-2,6
-0.0027089228246351734,-2,5
-0.003847207586748365,-2,4
-0.005428226835297872,-2,3
0.,-2,2
0.05997202796174678,-2,1
0.04490484626880258,-2,0
0.,-2,-1
0.,-2,-2
0.,-2,-3
0.,-2,-4
0.,-2,-5
0.,-2,-6
-0.001282092644538631,-1,6
-0.0015388469427972508,-1,5
-0.001924796557228459,-1,4
-0.0025668428631715904,-1,3
-0.0036557423689545844,-1,2
0.,-1,1
0.45689258345223316,-1,0
0.,-1,-1
0.,-1,-2
0.,-1,-3
0.,-1,-4
0.,-1,-5
0.,-1,-6
0.,0,6
0.,0,5
0.,0,4
0.,0,3
0.,0,2
0.,0,1
0.,0,0
0.,0,-1
0.,0,-2
0.,0,-3
0.,0,-4
0.,0,-5
0.,0,-6
0.,1,6
0.,1,5
0.,1,4
0.,1,3
0.,1,2
0.,1,1
0.4568925834522332,1,0
0.,1,-1
-0.003655742368954586,1,-2
-0.002566842863171591,1,-3
-0.0019247965572284594,1,-4
-0.0015388469427972504,1,-5
-0.0012820926445386302,1,-6
0.,2,6
0.,2,5
0.,2,4
0.,2,3
0.,2,2
0.,2,1
0.04490484626880258,2,0
0.05997202796174676,2,-1
0.,2,-2
-0.005428226835297873,2,-3
-0.0038472075867483657,2,-4
-0.0027089228246351734,2,-5
-0.0020570276030973003,2,-6
0.,3,6
0.,3,5
0.,3,4
0.,3,3
0.,3,2
0.,3,1
0.011007388908101145,3,0
0.04041790642376365,3,-1
0.01501025212790575,3,-2
0.,3,-3
-0.006236549968716865,3,-4
-0.0050297019924325,3,-5
-0.0035167470657874447,3,-6
0.,4,6
0.,4,5
0.,4,4
0.,4,3
0.,4,2
0.,4,1
0.0051173471595531116,4,0
0.016400240774281233,4,-1
0.02933854612051444,4,-2
0.003451886575084707,4,-3
0.,4,-4
-0.00595240779087652,4,-5
-0.00590462221013058,4,-6
0.,5,6
0.,5,5
0.,5,4
0.,5,3
0.,5,2
0.,5,1
0.0032041055087345905,5,0
0.007670640342202368,5,-1
0.018909639533618332,5,-2
0.017306146007145595,5,-3
0.0016789093477173208,5,-4
0.,5,-5
-0.004786142873054089,5,-6
0.,6,6
0.,6,5
0.,6,4
0.,6,3
0.,6,2
0.,6,1
0.002307122013685004,6,0
0.004503295256202768,6,-1
0.010047952973530448,6,-2
0.01811053269486782,6,-3
0.008210391754607981,6,-4
0.002230815181621948,6,-5
0.,6,-6
